,,,stan,er
-967.79,-164.36,0.12326,0.08195538,50.39891218
-967.79,231.78,-0.19937,-0.131242319,-51.90984191
-967.7,199.8,-0.17372,-0.114658473,-51.51082673
-967.68,-130.59,0.095946,0.063984906,49.95098999
-967.67,-176.07,0.13271,0.08815105,50.54840498
-967.56,-231.08,0.17676,0.116779525,51.36215045
-967.44,96.226,-0.089631,-0.059421828,-50.83851008
-967.39,-201.14,0.15289,0.101326107,50.88904961
-967.33,253.53,-0.21683,-0.142473102,-52.19013073
-967.3,178.08,-0.15625,-0.103300736,-51.25739336
-967.29,-253.67,0.19473,0.12834269,51.72660034
-967.19,206.57,-0.17925,-0.118282236,-51.54431072
-967.18,-110.76,0.079886,0.053381977,49.64975917
-967.12,226.1,-0.19495,-0.128437455,-51.78594172
-967.04,34.538,-0.039107,-0.025835798,-51.36749375
-966.84,132.06,-0.11894,-0.078822782,-50.89546154
-966.56,185.35,-0.16224,-0.107246698,-51.27738443
-966.45,-44.966,0.026154,0.017684869,47.88913875
-966.25,139.18,-0.12481,-0.082715652,-50.89042618
-966.13,-207.55,0.15824,0.104871419,50.88953879
-966.07,-69.621,0.046376,0.031157311,48.84467935
-965.93,-258.82,0.19909,0.131226106,51.71523834
-965.93,258.82,-0.22134,-0.145456975,-52.16870831
-965.89,-237.86,0.18247,0.120560831,51.35098093
-965.78,237.71,-0.20451,-0.134684802,-51.8434131
-965.7,214.15,-0.18561,-0.122495409,-51.52404607
-965.67,-82.41,0.056868,0.038142796,49.09237252
-965.59,146.4,-0.13077,-0.086670934,-50.88103219
-965.45,104,-0.09616,-0.063809288,-50.69906527
-965.44,47.215,-0.049574,-0.032834965,-50.97930102
-965.4,61.522,-0.061329,-0.040666806,-50.80850152
-965.36,160.04,-0.1419,-0.093995888,-50.96405056
-965.24,-103.36,0.074023,0.049546183,49.40202315
-965.18,-183.01,0.13868,0.092165336,50.46871796
-965,-213.91,0.16353,0.108368198,50.90220404
-964.92,-123.95,0.090846,0.060699886,49.66420291
-964.86,153.53,-0.13667,-0.090583554,-50.8772772
-964.79,27.417,-0.033314,-0.021999257,-51.4323867
-964.65,-136.37,0.10099,0.067412877,49.80817327
-964.59,-31.301,0.014995,0.01025436,46.23047888
-964.54,-244.55,0.18806,0.124243227,51.36438764
-964.53,-16.577,0.0028861,0.002170505,32.96903103
-964.52,264.01,-0.22578,-0.148397553,-52.14536627
-964.51,-143.38,0.1067,0.071185421,49.89024229
-964.46,-264.24,0.20369,0.134266777,51.70543621
-964.44,-96.021,0.068096,0.045629555,49.23660644
-964.3,243.99,-0.20984,-0.138211017,-51.825813
-964.26,-170.23,0.1285,0.085536097,50.22897285
-964.26,-157.39,0.1181,0.078707277,50.04965825
