,,,stan,er
-977.35,-143.03,0.11416,0.069545097,64.15247747
-976.93,-149.54,0.11989,0.073010194,64.20994689
-976.92,213.59,-0.19916,-0.120230178,-65.6489265
-976.91,108.44,-0.10747,-0.065155093,-64.94489638
-976.85,-213.93,0.17562,0.106380988,65.08588941
-976.85,-90.045,0.067794,0.041502068,63.35089609
-976.69,16.882,-0.02664,-0.016005979,-66.4378083
-976.69,-35.974,0.020117,0.012499006,60.94879549
-976.57,-156.16,0.1257,0.076524367,64.26140424
-976.5,161.3,-0.15384,-0.093159879,-65.13546551
-976.47,-187.2,0.15265,0.09270003,64.67092798
-976.21,-11.747,-0.0013021,-0.000557322,-133.6349671
-976.12,-22.879,0.0085509,0.005451717,56.84783474
-976.06,55.896,-0.06118,-0.03706046,-65.08159698
-975.9,69.371,-0.073101,-0.044318863,-64.94331214
-975.82,115.52,-0.11381,-0.069032488,-64.86440398
-975.78,-5.1157,-0.007171,-0.004136825,-73.345499
-975.72,-118.07,0.092521,0.056521356,63.69211098
-975.71,192.44,-0.18108,-0.109526708,-65.32953743
-975.61,219.51,-0.20452,-0.123498866,-65.60475925
-975.61,-219.53,0.18067,0.109447883,65.07400074
-975.38,168.41,-0.16021,-0.097040909,-65.09532155
-975.34,-193.13,0.15797,0.09593547,64.66276741
-975.34,-163.48,0.13225,0.080514393,64.25634546
-975.31,9.2034,-0.019857,-0.011878561,-67.1667063
-975.29,36.136,-0.043722,-0.026435255,-65.39277013
-975.21,82.825,-0.085036,-0.051592672,-64.82185553
-975.04,2.0406,-0.01351,-0.008006999,-68.72738822
-975.04,-57.595,0.0393,0.024201332,62.38775747
-974.99,95.448,-0.0962,-0.058381201,-64.77906938
-974.97,-111.04,0.086427,0.052850393,63.53142362
-974.86,122.6,-0.12014,-0.072897215,-64.80739366
-974.77,-43.555,0.026892,0.016642209,61.58912226
-974.37,-224.95,0.18557,0.112427618,65.05730755
-974.37,224.95,-0.20946,-0.126508573,-65.56980627
-974.29,-131.49,0.10445,0.063781216,63.76294869
-974.13,-70.288,0.050572,0.031079264,62.71942631
-974.07,-199.13,0.16338,0.099232717,64.64328012
-973.95,129.59,-0.12639,-0.076711672,-64.7598025
-973.9,197.77,-0.18602,-0.112578151,-65.23632535
-973.9,-175.6,0.14301,0.087036479,64.31041599
-973.78,175.02,-0.16623,-0.100736698,-65.01434239
-973.41,48.637,-0.054877,-0.033265177,-64.96830942
-973.33,203.78,-0.19134,-0.115790226,-65.24710753
-973.21,-83.225,0.062068,0.038093411,62.9363152
-973.16,230.15,-0.21419,-0.129392797,-65.53471675
-973.15,136.4,-0.13248,-0.080425626,-64.72361657
-973.13,-230.27,0.19038,0.115355035,65.03831045
-973.1,62.261,-0.066975,-0.040647367,-64.77082017
-972.99,29.227,-0.037663,-0.022766172,-65.43404855
-972.78,-205.21,0.16887,0.102574677,64.63127613
-972.66,181.66,-0.1722,-0.104375259,-64.98162688
-972.55,-17.185,0.0035681,0.002416992,47.62564312
-972.54,-30.077,0.015018,0.009410976,59.57963074
-972.44,143.3,-0.13863,-0.084175326,-64.69196735
-972.22,102.47,-0.10266,-0.062384448,-64.56024547
-972.15,-124.42,0.098483,0.060236763,63.49318192
-971.9,209.91,-0.19693,-0.119207146,-65.19982731
-971.89,-97.242,0.074558,0.045719196,63.07810755
